lancersTaskId,lancersResultId,lancersNickname,sample,,,,,,,answer0,,,,,,,answer1,,,,,,,answer2,,,,,,,answer3,,,,,,,answer4,,,,,,,answer5,,,,,,,answer6,,,,,,,answer7,,,,,,,answer8,,,,,,,answer9,,,,,,,answer10,,,,,,,answer11,,,,,,,answer12,,,,,,,answer13,,,,,,,answer14,,,,,,,answer15,,,,,,,answer16,,,,,,,answer17,,,,,,,answer18,,,,,,,answer19,,,,,,,answer20,,,,,,,answer21,,,,,,,answer22,,,,,,,answer23,,,,,,,answer24,,,,,,,answer25,,,,,,,answer26,,,,,,,answer27,,,,,,,answer28,,,,,,,answer29,,,,,,,answer30,,,,,,,answer31,,,,,,,answer32,,,,,,,answer33,,,,,,end
LTI001013802,LRI008715525,kuruupu,Anger,Sadness,,,Surprise,,,,,,,Surprise,,,,Sadness,,Disgust,,,,,Sadness,,Disgust,,,Neutral,,,,Disgust,,,,,,,Disgust,,,,,,Joy,,,,,,Sadness,,,,,,,Sadness,,,,,,,Sadness,,,,,,,Sadness,,,,,,,Sadness,,,,,,,,,,,,Neutral,,Sadness,,,,,,,Sadness,,,,,,,,,,,,Neutral,,,,Disgust,,,,,,,,,,Neutral,,,,,Surprise,,,,,,,Surprise,,,,,,,,,Neutral,,,,,Surprise,,,,Sadness,,,,,,,,,,,,Neutral,,,,,,,Neutral,,Sadness,,,,,,,,Joy,,,,,,,Joy,,,,,,,,Disgust,,,,,,Joy,,,,,,,Joy,,,,,,,Joy,,,,,,,,,,,Neutral,,,Joy,,,,,,,Joy,,,,
LTI001013802,LRI008715339,tamori,Anger,Sadness,,,Surprise,,,,,,,Surprise,,,,Sadness,,Disgust,,,,Anger,,,Disgust,,,,Anger,,,Disgust,,,,,Sadness,,,,,,,,Joy,,,,,,Sadness,,,,Fear,,,,,,,,Neutral,,Sadness,,,,Fear,,,Sadness,,,,Fear,,,,,,,Fear,,Anger,Sadness,,Disgust,,,Neutral,,,,,,Fear,,,,,,,Fear,,,,,,,,Neutral,,Sadness,,,,,,,,,,,,Neutral,Anger,Sadness,,Disgust,,,,,,,,,,Neutral,,,,,,,Neutral,,,,,Surprise,,,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,Joy,,,,,,,Joy,,,,,Anger,,,Disgust,,,,,,,,,,Neutral,,,Joy,,,,,,,Joy,,,,,,,Joy,,,,,,,Joy,,,,,,,Joy,,,,
LTI001013802,LRI008715341,siosio3,Anger,Sadness,,,Surprise,,,,,Joy,,Surprise,,,,Sadness,,,Surprise,,,Anger,Sadness,,,,,,Anger,,,,,,,Anger,,Joy,,,,,,,Joy,,,,,,Sadness,,,,,,,,,,,,Neutral,,Sadness,,,,,,,Sadness,,,,Fear,,,,,,,,Neutral,,Sadness,,Disgust,,,,,Sadness,,,,,,,Sadness,,,,,,,,,,,,Neutral,,Sadness,,,,,,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,Joy,,Surprise,,,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,Joy,,,,,,,,,,,Neutral,,,,Disgust,,,,,,,,,,Neutral,,,Joy,,,,,,,Joy,,Surprise,,,,,Joy,,,,,,,,,,,Neutral,,,,,,,Neutral
LTI001013802,LRI008715344,faimo,Anger,Sadness,,,Surprise,,,,,,,Surprise,,,,,,,,,Neutral,,,,Disgust,,,,,,,Disgust,,,,,,,Disgust,,,,,,Joy,,,,,,,,,,,Neutral,,,Joy,,,,,,Sadness,,,,,,,Sadness,,,,,,,,,,,,Neutral,,Sadness,,,,,,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,,Disgust,,,,,,,,,,Neutral,,,,,,,Neutral,,,Joy,,,,,,,Joy,,,,,,,,,Surprise,,,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,Joy,,,,,,,Joy,,,,,,,,Disgust,,,,,,,,,,Neutral,,,,,Surprise,,,,,Joy,,Surprise,,,,,Joy,,,,,,,Joy,,,,,,,,,,,Neutral
LTI001013802,LRI008715346,manamana07,Anger,Sadness,,,Surprise,,,,,Joy,,,,,,Sadness,,Disgust,,,,,Sadness,,Disgust,,Fear,,,Sadness,,Disgust,,,,,Sadness,,,,,,,,Joy,,,,,,Sadness,,,,,,,,Joy,,,,,,Sadness,,,,,,,Sadness,,Disgust,,Fear,,,Sadness,,,,,,,Sadness,,,,,,,Sadness,,,,,,,Sadness,,,,,,,Sadness,,,,,,,Sadness,,,,,,,Sadness,,,,,,,Sadness,,,,,,,,,,Surprise,,,,,,,,,Neutral,,,Joy,,Surprise,,,,Sadness,,,,,,,,Joy,,Surprise,,,,,Joy,,,,,,,,,,,Neutral,,,Joy,,,,,,,Joy,,,,,,,,Disgust,,,,,,Joy,,,,,,,Joy,,,,,,,Joy,,Surprise,,,,,Joy,,,,,,,Joy,,,,,,,Joy,,,,
LTI001013802,LRI008715347,domonga,Anger,Sadness,,,Surprise,,,,,,,,,Neutral,,Sadness,,,,,,Anger,Sadness,,,,,,Anger,,,,,,,Anger,,,Disgust,,,,,,Joy,,,,,,,,,,Fear,,,,,,,,Neutral,,Sadness,,,,,,,Sadness,,,,,,,,,,,,Neutral,,,,Disgust,,,,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,Sadness,,,,,,,,,,,,Neutral,,,,Disgust,,,,,,,,,,Neutral,,,Joy,,,,,,,,,Surprise,,,,,,,,,Neutral,,,Joy,,,,,,,Joy,,,,,,,,,,,Neutral,,,Joy,,,,,,,Joy,,,,,,,,Disgust,,,,,,Joy,,,,,,,Joy,,,,,,,Joy,,,,,,,,,,,Neutral,,,,,,,Neutral,,,Joy,,,,
LTI001013802,LRI008715353,sabineko_001,Anger,Sadness,,,Surprise,,,,,,,Surprise,,,Anger,Sadness,,Disgust,,Fear,,Anger,,,Disgust,,,,Anger,,,Disgust,,,,Anger,,,,,,,,,Joy,,,,,,Sadness,,,,,,,,,,,,Neutral,,Sadness,,,,Fear,,,Sadness,,,,Fear,,,,,,,,Neutral,,Sadness,,,,Fear,,,,,,,Fear,,,,,,,Fear,,,,,,,,Neutral,,Sadness,,,,,,,,,,,,Neutral,,,,Disgust,,,,,,,,Surprise,,,,,,Disgust,,,,,,,,Surprise,,,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,,,,Fear,,,,Joy,,,,,,,Joy,,,,,,,,Disgust,,,,,,Joy,,,,,,,Joy,,,,,,,Joy,,,,,,,Joy,,,,,,,Joy,,,,,,,Joy,,,Fear,
LTI001013802,LRI008715354,quickmasa,Anger,Sadness,,,Surprise,,,,,Joy,,Surprise,,,,Sadness,,Disgust,,,,Anger,,,Disgust,,,,Anger,,,Disgust,,,,Anger,,,Disgust,,,,,,Joy,,,,,,,Joy,,,,,,,,,,,Neutral,,Sadness,,Disgust,,,,,Sadness,,Disgust,,Fear,,,,,,,,Neutral,Anger,,,,,,,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,,,,Fear,,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,,,Surprise,,,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,,Joy,,,,,,,Joy,,,,,Anger,,,,,,,,,,,,,Neutral,,,Joy,,,,,,,Joy,,,,,,,Joy,,,,,,,,,,,Neutral,,,,,,,Neutral
LTI001013802,LRI008715367,Mondfisch,Anger,Sadness,,,Surprise,,,,,Joy,,,,,Anger,Sadness,,,,,,Anger,,,,,,,Anger,,,Disgust,,,,,Sadness,,,Surprise,,,,,Joy,,,,,,Sadness,,,,,,,,Joy,,,,,,Sadness,,,,,,,Sadness,,,,,,,,Joy,,,,,Anger,Sadness,,,,,,,,,,,,Neutral,,,,,,,Neutral,,,,,,,Neutral,,Sadness,,,,,,,,,,,,Neutral,,Sadness,,,,,,,,,,Surprise,,,,,,,,,Neutral,,,Joy,,Surprise,,,,,,,,,Neutral,,,,,Surprise,,,,,Joy,,,,,,,,,,,Neutral,,,Joy,,,,,,,Joy,,,,,Anger,,,Disgust,,,,,,Joy,,,,,,,Joy,,,,,,,Joy,,Surprise,,,,,Joy,,,,,,,Joy,,,,,,,Joy,,,,
